
> tax4us-app@0.1.0 dev
> next dev -p 3001

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.5.233:3001
- Environments: .env.local, .env
 GET /api/pipeline/logs 200 in 20ms (compile: 8ms, render: 12ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 18ms, render: 15ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 18ms, render: 20ms)
 GET /api/pipeline/logs 200 in 30ms (compile: 12ms, render: 18ms)
 GET /api/pipeline/logs 200 in 33ms (compile: 24ms, render: 8ms)
 GET /api/pipeline/logs 200 in 50ms (compile: 24ms, render: 26ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 29ms, render: 19ms)
 GET /api/pipeline/logs 200 in 46ms (compile: 24ms, render: 22ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 14ms, render: 17ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 15ms, render: 21ms)
 GET /api/pipeline/logs 200 in 53ms (compile: 26ms, render: 27ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 17ms, render: 22ms)
 GET /api/pipeline/logs 200 in 27ms (compile: 17ms, render: 10ms)
 GET /api/pipeline/logs 200 in 64ms (compile: 21ms, render: 44ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 24ms, render: 15ms)
 GET /api/pipeline/logs 200 in 61ms (compile: 25ms, render: 36ms)
 GET /api/pipeline/logs 200 in 60ms (compile: 28ms, render: 31ms)
 GET /api/pipeline/logs 200 in 49ms (compile: 23ms, render: 26ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 14ms, render: 14ms)
 GET /api/pipeline/logs 200 in 42ms (compile: 17ms, render: 26ms)
 GET /api/pipeline/logs 200 in 66ms (compile: 49ms, render: 17ms)
 GET /api/pipeline/logs 200 in 53ms (compile: 17ms, render: 35ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 19ms, render: 13ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 27ms, render: 17ms)
 GET /api/pipeline/logs 200 in 338ms (compile: 125ms, render: 213ms)
 GET /api/pipeline/logs 200 in 30ms (compile: 10ms, render: 20ms)
 GET /api/pipeline/logs 200 in 39ms (compile: 14ms, render: 25ms)
 GET /api/pipeline/logs 200 in 43ms (compile: 33ms, render: 10ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 15ms, render: 17ms)
 GET /api/pipeline/logs 200 in 48ms (compile: 20ms, render: 28ms)
 GET /api/pipeline/logs 200 in 36ms (compile: 14ms, render: 23ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 20ms, render: 13ms)
 GET /api/pipeline/logs 200 in 62ms (compile: 32ms, render: 30ms)
 GET /api/pipeline/logs 200 in 31ms (compile: 20ms, render: 11ms)
 GET /api/pipeline/logs 200 in 52ms (compile: 20ms, render: 31ms)
 GET /api/pipeline/logs 200 in 218ms (compile: 16ms, render: 202ms)
 GET /api/pipeline/logs 200 in 32ms (compile: 20ms, render: 12ms)
 GET /api/pipeline/logs 200 in 51ms (compile: 26ms, render: 25ms)
 GET /api/pipeline/logs 200 in 29ms (compile: 18ms, render: 11ms)
 GET /api/pipeline/logs 200 in 41ms (compile: 25ms, render: 15ms)
 GET /api/pipeline/logs 200 in 44ms (compile: 20ms, render: 23ms)
 GET /api/pipeline/logs 200 in 35ms (compile: 17ms, render: 18ms)
 GET /api/pipeline/logs 200 in 19ms (compile: 8ms, render: 12ms)
 GET /api/pipeline/logs 200 in 34ms (compile: 19ms, render: 15ms)
 GET /api/pipeline/logs 200 in 40ms (compile: 19ms, render: 21ms)
